Category,Sub Category,Vehicle Make,Model,Type,Part,Size,Brand,Item
BANCO,GASKETS,MAHINDRA TRACTOR,"575 DI MILLOR TYPE",BHR,FULL GASKET,"",BANCO,"56583799PSBHR"
KSPG,CONNECTING BUSH,MARUTI,"800 (CAR)","800 (CAR)","",STD,KSPG,PS.110.5.00.003
BANCO,GASKETS,HINDUSTAN MOTORS,G 453,BANKITE,HEAD GASKET,"",BANCO,"5641250003BKT"
SETCO,COVER ASSY,ASHOK LEYLAND,"15INCHES 1.75SPLINES","","","",SETCO,"380-8062-9031R"
BANCO,GASKETS,TATA,"1210",RC,DIFFERENTIAL COVER,"",BANCO,"5220644005RC"
KSPG,CONNECTING BEARING,MAHINDRA,MDI 3200,MDI 3200,"","20",KSPG,B.332.3.00.023
BANCO,GASKETS,MAHINDRA,XDP 3,BHR,HEAD GASKET,"",BANCO,"55803900PSBHR"
TALBROS QHT,DRAG LINK,TATA,"1516/2213/3516",REPAIR KIT (BOTH 35DIA),"","",TALBROS QHT,DRK01008
KAR VALVES,VALVE,TATA,"407","407","",STD,KAR VALVES,KV1305-306A
SPICER,DIFFERENTIAL,ASHOK LEYLAND,RETAINER BEARING,"","","",SPICER,SABR2149RW
KSPG,CONNECTING BEARING,SIMPSON,S4,S4,"","10",KSPG,B.231.3.00.013
BANCO,GASKETS,MASSEY FERGUSON,MF 135,HLT,DISTRIBUTOR PUMP GASKET,"",BANCO,"5124227100HLT"
RBL,BRAKE LINING,MAHINDRA,B275,B275,"242",Jan-32,RBL,J40/0871/ 1/32 242
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",HLT,WATER PUMP SET,"",BANCO,"5360644501HLT"
IPL,VALVE,TATA,"407/609","407/609 NON TURBO","",STD,IPL,"712-VT09711/4"
TIGER POWER,CYLINDER LINER,BAJAJ,DIESEL,SEMI FINISHED,BS3,STD,TIGER POWER,K2000800660
RBL,BRAKE LINING,ASHOK LEYLAND,"5 INCHES",FRONT 10 HOLES,HF7,STD,RBL,AL/TP/SM/1&2 STD HF7
TALBROS,GASKETS,TATA,"407",FULL GASKET,DYNA SEAL,"",TALBROS,FS3045DSXTCCTCS
BANCO,GASKETS,TATA,"1612",PAP,GEAR BOX KIT,"",BANCO,"5220659600PAP"
KSPG,CONNECTING BEARING,MARUTI,ASTAR/ZEN ESTILO/ALTO K10,ASTAR/ZEN ESTILO/ALTO K10,"","20",KSPG,B.165.0.00.023
BANCO,GASKETS,MARUTI,CAR/VAN,RC,CHAMBER PACKING,"",BANCO,"5231111000RC"
KSPG,MAIN BEARING,MAHINDRA,HAWK,HAWK,"",STD,KSPG,M.274.3.00.003
KAR VALVES,VALVE,TATA,INDICA,DICOR 1.4,"",STD,KAR VALVES,KV1121-122
